OM	Baseline    Std
267	3548.5	1.82488
268	3544.29	1.81537
269	3542.52	1.75849
270	3548.7	1.6409
271	3543.69	1.77182
272	3550.93	1.53864
273	3368.24	1.88403
274	3365.02	1.7634
275	3544.59	1.93045
276	3548.43	1.63027
277	3542.82	1.86874
278	3549.37	1.93012
279	3546.77	1.85403
280	3536.95	1.80845
281	3553.59	1.79002
282	3539.35	1.83388
283	3547.16	1.85318
284	3547.57	1.75954
285	3548.41	1.67914
286	3538.72	1.75953
287	3542.3	1.85004
288	3547.82	1.93504
289	3550.29	1.77615
290	3558.11	1.59488
291	3542.87	1.8304
292	3547.15	1.65056
293	3544.57	1.73755
294	3543.83	1.83042
295	3542.13	1.81691
296	3544.23	1.76417
297	3542.05	1.82627
298	3547.39	1.86157
299	3540.29	1.85921
300	3532.91	1.81392
301	3548.49	1.96201
302	3549.85	1.78395
303	3543.82	1.75331
304	3542.12	1.76029
305	3560.65	1.75525
306	3543.98	1.72181
307	3540.89	1.7246
308	3544.82	1.82229
309	3551.45	1.91347
310	3548.17	1.61572
312	3558.44	1.89914
313	3553.66	1.6856
314	3543.65	1.81347
315	3541.87	1.74665
316	3543.16	1.68984
317	3545.68	2.18123
318	3544.6	1.82257
319	3544.74	1.73813
320	3551.77	1.55914
321	3561.82	1.70699
322	3553.72	1.65916
323	3551.84	1.86775
324	3535	1.7791
325	3549.07	1.91482
326	3549.03	1.74011
327	3550.05	1.77117
328	3541.13	1.89673
329	3544.33	1.66768
330	3540.51	1.75749
331	3545.38	1.86957
332	3541.81	1.95132
333	3540.67	1.93448
334	3541.95	1.7656
335	3551.24	1.74542
336	3546.48	1.66068
337	3536.49	1.88889
338	3547.04	1.79141
339	3550.31	1.73325
340	3536.96	1.87039
341	3541.55	1.91092
342	3549.9	1.6647
343	3549.93	1.73619
344	3563.74	1.99901
345	3544.86	2.02651
346	3553.89	1.67723
347	3556.9	1.81979
348	3542.6	1.86967
349	3549.41	1.72193
350	3538.72	1.79101
351	3544.2	1.77535
352	3550.16	1.92493
353	3533.56	2.12204
354	3542.83	1.7668
355	3536.65	1.76608
356	3543.83	1.75926
357	3541.26	1.91204
358	3540.84	1.80993
359	3540.79	1.84333
360	3546.04	1.68727
361	3542.08	1.63126
362	3532.27	1.80798
363	3549.71	1.79779
364	3539.79	1.81351
365	3535.6	1.93886
366	3548.49	1.83587
367	3553.93	1.9124
368	3551.01	1.6007
369	3555	1.99872
370	3545.46	1.53375
371	3541.65	1.73167
372	3536.28	1.61358
373	3546.09	1.98341
374	3544.18	1.75332
375	3542.58	1.60481
377	3553.16	1.95704
378	3550.09	1.68779
379	3549.83	1.72025
380	3539.5	1.76964
381	3551.07	1.9163
382	3548.11	1.92493
383	3548.26	1.91432
384	3548.4	2.06994
385	3542.55	1.80748
386	3561.73	1.6706
387	3540.01	1.5527
388	3555.6	1.73118
389	3557.53	1.78133
390	3554.55	1.89056
391	3553.68	1.88525
392	3549.25	1.9114
393	3538.88	1.78231
394	3547.35	1.85073
395	3547.38	1.86625
396	3552.29	1.70779
397	3545.57	1.96807
398	3546.09	2.07445
399	3541.47	1.7789
400	3546.81	1.7218
401	3549.88	1.82489
402	3534.91	1.76392
